,task_count,deadline,paths_count,variables_count,constraints_count
0,175,973.1117929205537,4230,875,4405
1,34,65.64690896017497,30,170,64
2,175,1007.8531198154487,4230,875,4405
3,34,30.905582065279994,30,170,64
4,32,644.161750008806,30,160,62
5,177,394.5969518719226,4230,885,4407
6,6,29.241298119271292,4,30,10
